Star Rating,Review Title Cleaned,Review Description Cleaned
5.0 out of 5 stars,worth money,media could not be loadedworth money i must say sound quality quite crisp cuts down background really well super easy use you can download app control heck lot things through magnet super strong very light weight easy attach clothes doesn’t feel bulkyps you will have buy both receivers if you use iphone lighting one doesn’t come singular usbread more
5.0 out of 5 stars,sound quality,best product you can get works so good voice comes crystal clearread more
3.0 out of 5 stars,good but,mic great but must have clips other wise you will lose itread more
1.0 out of 5 stars,transmittors are not working,i purchased lark ai both transmittors are not working what do nextread more
5.0 out of 5 stars,best product,best bloggingi’m using industry voice cancellation working fantastic loved itread more
5.0 out of 5 stars,iphone,good product product delivery also proffesionalread more
5.0 out of 5 stars,smooth af,ui so smooth dove floats moonlit tranquil pondcameras so sharp ronin handles his swordspeakers so thunderous even heavens rumble when one booms chorusread more
5.0 out of 5 stars,genuine fast,my first iphone i couldn’t ask better battery life performance camera uii have purchased during republic day sale little anxious about genuineness’s product but seller lived up expectationsread more
5.0 out of 5 stars,beautifull baby,thanks amazon making unit available fraction minutes i have managed order from here even when iphones were out stock most platforms phone one hell beast i have upgraded from my s21 ultra i think i will stick device many years photos just comes out right heavy weight may be liked some not by other i personally prefer heavier ones screen quality colour topnotch apple must have put much rnd 17 version make best iphone till date battery remarkable phone seems really optimised manage battery life price seems be higher side but trade people wondering if scratch gate real im not sure all other phones market get scratches so one might do aswell titanium body would have given me more confidence but yes do put case has micro fibre lining inside avoid hard cases or silicone onesread more
1.0 out of 5 stars,brand new iphone 17 pro max visible dead pixel – replacement denied despite proof,media could not be loadedi purchased brand new iphone 17 pro max from amazon within days delivery device started showing visible reddead pixel issue intermittent flickering defect clearly visible naked eye appears across multiple screens colorsi immediately followed correct process visited apple authorized service center issue officially recorded their service report even captured video however after keeping phone two days service center verbally denied issue refused issue defective certificate which amazon requires replacementbecause i am now running out my replacement window despite product being defective from beginning i had take leave from work visit service center multiple times still ended up helplessthis premium flagship device such defect brand new phone unacceptable even more disappointing how difficult has been get fair replacement after following all official stepsi expected much better quality checks postsale support product pricebuyers beware please check your device very carefully immediately after delivery be prepared long struggle if you receive defective unitread more
5.0 out of 5 stars,good design,niceread more
5.0 out of 5 stars,nice,niceread more
5.0 out of 5 stars,great user experience,great user experienceread more
5.0 out of 5 stars,monsterously amazing galaxy,bought after almost 5 months intense research wont regret my decision now writing after using device 7 daysdisplay magnificentperformance abattery coming up good so far almost 5558 hrs backup single charge bought original samsung 45w adaptercamera quality amazing crisp photos better quality use feather 120 hz screen refresh rate premium feel very light weight havent used any games but only candy crush too leisure time too smooth experienceoverall monster best segment all areas 4nm built exynos 1480 doing great job there along xclypse gpu x factor 275 ghz processor samoled display bixby which makes monster huge one within 25k budgetread more
4.0 out of 5 stars,galaxy not bad,battery processor dual speaker only compromiseone ui 6 x 6 updates light weight slim premium lookdisplay quality galaxy eco systemvoice focuscamera qualitynon chinese brand international brand value are sacrifice compromisesread more
5.0 out of 5 stars,good phone great features,sleek stylish design good performance every colleagues asking me which model software samsung always great ui feels smooth im not gamer so battery lasts full day i mainly got 7 os gen updates description mentioned android 15 but my surprise i got android 16 out box which great glass back so get case safety i bought niukin ripple wave soft back cover great l aesthetic classy caseread more
5.0 out of 5 stars,amazing product,best segment phone build quality camera user interface everything top notch pricethis smartphone gives full value every penny you spendread more
5.0 out of 5 stars,nice phone daily use,using phone since 15 days so far so good daily use phone handy light weight good front n back camera screen brightness auto adjust works wellread more
4.0 out of 5 stars,simply samsung phone very 👌 awesome,phone really excellent camera outstanding — i compared side by side other phones around ₹30000 range but one clearly has much better camera pictures are very clear great quality ois works really well visibly better than other brandsthe display also excellent colors are very vibrant screen extremely smooth using phone feels very enjoyable smooththe battery performance also very good one full charge easily lasts full day even heavy usageapps open very fast phone feels very smooth overall games like bgmi also run smoothly i have played without any issuesone small drawback has single speaker however not bad all — speaker loud sound quality good still if had stereo speakers would have been even betteri am giving phone 4 stars only because single speakeroverall phone very good balanced around 25000read more
3.0 out of 5 stars,good,phone very good value money but no water resistant single speaker other features good magic eraser not working ai read more
4.0 out of 5 stars,good product but beware exchange offers,happy productpros samsung reliabilityusability decent cameras good product no major issuescons not really major issues no sd card slot no earphone portoverall happy productexchange scam though had pay extra 1700 rupees during exchange even though old phone had no issues or scratches fact exchange person also lied old phone had come charger they needed i told them i cannot find paid extra money later checked saw old phone never came charger so exchange process scammyread more
5.0 out of 5 stars,excellent fantastic superb,i highly recommend other costumer purchase mobile i also say really wonderful item very less budget all features are very fantasticread more
4.0 out of 5 stars,m06 review,phone nice i have been using from last 6 monthsgood build qualitygood price rangesupports super fast charging battery health also goodbigger screen sizegood soundit lags when gets heated processor cannot handle much loadoverall runs smooth low moderate useread more
5.0 out of 5 stars,awesome,fantastic product exceeded my expectations im really satisfied impressive features smooth performance reliable battery life price highly recommended anyone tight budget 10k12k range—great value without compromisesread more
5.0 out of 5 stars,good product but camera very poor,product very good but if you are looking phone takes very good pictures then do not buy camera very poor overall performance good not gaming purposes good normal calls whatsapp messages banking applications food applications all basic applications can run smoothly battery very effectivedo not expect something very exceptional from itread more
1.0 out of 5 stars,stay away from samsung,i ordered cellphone about month back had horrible experience say least i had tremendous trust confidence samsung products they were extremely durable good quality however all shattered cellphone purchase just after five days or so screendisplay started malfunctioning when i paid visit service centre they simply updated software sent me back saying will work very next day cellphones display again started giving me problems i again went service centre my shock they were not ready acknowledge hardware fault after lot struggle service centre guys they changed display been 56 days since i can say surety device low hardware quality speaker sound display infact everything feels like low quality i amazed kind experience i have had samsung time i really wouldnt recommend anyone buy product guys service centre guys were behaving if they didnt care damn i have come down conclusion not just hardware but service samsung has declined over years point they were behaving like tin pot company extremely disappointed sad but 100 true i would definitely stay away from buying samsung products future company which i had tremendous trust confidence i am already acknowledging money down drain even if samsung would have exchanged device new one i still dont think would have worked really well but something they should have done say least read more
5.0 out of 5 stars,durable good quality,good product low budgetread more
4.0 out of 5 stars,value money,value money product budget buyers safe secure if you are using nicely no blotware no useless apps etcfeels good works nicely if not used roughly looks good premium costcons phone hangs lags if memory 60 full no dedicated slot biggest cons no case no charger no head phone which must budget buyers hence i have given 4 ratings camera decent no macro or wide angle availableread more
3.0 out of 5 stars,cutdown version 5g phone,i am reviewing phone after few days usagethis compromised or cutdown version normal 5g phones hence available less than 10k inrthe builtin hardware test removed dialling 0 does nothingit has very basic raw uncalibrated gyroscopecamera okay despite 128gb rom 6gb ram 2 ghz processor phone surprisingly slowif signal quality around 3 bars may be because you are indoors or so signal falls back 4g mobile internet practically does not work see speed test screenshot test fails connect theres no internet even though mobile data 4g connection i tried every suggestion given by ai even including replacing sim new one but nothing helps device has weaker antenna or reception from technical point viewsadly speaker sound not great again poor if you are next room watching tv phone rings another room you might miss call because speaker loudness poor even full volumewhen you take photo phone makes click sound theres no direct setting turn off but theres trick available youtube videos works you can mute click soundbattery life average charging time okay standard normal chargeronly one good thing about now theres no beep or call recording announcement when you record call might change future thoughoverall i am disappointed earlier i had redmi 7a did not have enough space overall slow all aspects so i bought one but overall i am not all impressed i just feel i still have same old experience just added space nothing moreread more
5.0 out of 5 stars,excellent mobile very resonable price build performance,excellent mobile all standard features highend mobiles processor display sound are very goodread more
5.0 out of 5 stars,excellent phone,excellent phone latest android flawless good camera bigg battery single charge 2 days usage 👍read more
4.0 out of 5 stars,thumbs up,good productread more
5.0 out of 5 stars,performance battery beast,experience smartphone has been really fantastic i bought smartphone performance battery provides me things beyond my expectationthe battery last more than 2 days while performance top notch camera smartphone also great display quality never felt low which concerning startingoverall top notch performance top notch battery great camera system really make smartphone value priceread more
1.0 out of 5 stars,worst device,i got deviled 2nd april 2026 one worst device under 20k like really slow laggy even after having such processor i think phone not well optimised all i want say please look other options budgetread more
5.0 out of 5 stars,good phone long battery usage,good phonegood battery lifedecent cameravery happy split screen new origin os availability lower price segmentread more
5.0 out of 5 stars,superfast phone hai 60fps stable bgmi,best phones budget gaming but buy 256gb storage phone very fast good fps bgmi after turn developer option changes settings heating issue also solved normal heating bgmi 60fps stableread more
4.0 out of 5 stars,good apps but few unwanted games apps,nice product good apps but many games preloaded which were not needed few customersread more
5.0 out of 5 stars,great deal smooth delivery premium experience,i recently purchased iphone 17 pro from amazon overall experience excellentthe product arrived perfect condition performs exactly expected build quality performance camera are all topnotch everything properly sealed brand newdelivery prompt smooth since wasn’t openbox delivery i appreciated delivery associate reassured me if anything turned out be wrong support would be available added extra layer confidence while accepting packagei also managed get very good deal using coupons along cashback through icici amazon credit card which made purchase even more worthwhileoverall smooth buying experience completely satisfied purchase highly recommendedread more
5.0 out of 5 stars,solid phone solid performance premium experience,i recently purchased iphone 17 pro from amazon overall experience excellent alwaysthe product arrived perfect condition performs exactly expected build quality performance camera are all topnotch everything properly sealed brand newdelivery prompt smooth since wasn’t openbox delivery i appreciated delivery associate reassured me if anything turned out be wrong support would be available added extra layer confidence while accepting packagei also managed get very good deal using coupons along cashback through icici amazon credit card which made purchase even more worthwhileoverall smooth buying experience completely satisfied purchase highly recommendedread more
5.0 out of 5 stars,premium class always,very premium feel i do understand apple left titanium body 16 pro but yes upgrade if one has 16 pro then may be he should not go one but hugely recommend anyone having 14pro or lower feels premium hand design different may not be everyones taste blue colour awesome i had liked darker colours from apple camera excellent i do not want comment about battery i do not use phone gaming amazon also did good job respect delivery providing offers republic day sale 😀😀about durability i can only say my wife using 13 pro still smooth no major issues except battery which obviously apple degrades over years so you buy new onei hoping bag 16 pro but sale difference not huge so went one 👍👍read more
5.0 out of 5 stars,iphone 17 pro,awesome quality good battery backup lovely pictures way too improved worth priceread more
4.0 out of 5 stars,performance,first time i have shifted from android ios iphone after usage 1 month i am writing these lines regarding my iphone experienceit very nice classy outstanding look hands feel something different usecamera gooddesign charmingbattery lasts day after heavy usereally hands feel different touchi like design performanceread more
5.0 out of 5 stars,delivery item performance superfine,perfect spection our orderread more
1.0 out of 5 stars,apple too expensive fraud,apple fooling customers around i don’t feel any change my phone between iphone 15 iphone 17 pro apple says there massive battery increase nothing apple company who wants dig out one lakh rupees every year from customers pocket without giving anything extraread more
5.0 out of 5 stars,very good,i got 5000 rupees discount from amazon thank you amazonread more
5.0 out of 5 stars,iphone,good product product delivery also proffesionalread more
5.0 out of 5 stars,smooth af,ui so smooth dove floats moonlit tranquil pondcameras so sharp ronin handles his swordspeakers so thunderous even heavens rumble when one booms chorusread more
5.0 out of 5 stars,genuine fast,my first iphone i couldn’t ask better battery life performance camera uii have purchased during republic day sale little anxious about genuineness’s product but seller lived up expectationsread more
5.0 out of 5 stars,beautifull baby,thanks amazon making unit available fraction minutes i have managed order from here even when iphones were out stock most platforms phone one hell beast i have upgraded from my s21 ultra i think i will stick device many years photos just comes out right heavy weight may be liked some not by other i personally prefer heavier ones screen quality colour topnotch apple must have put much rnd 17 version make best iphone till date battery remarkable phone seems really optimised manage battery life price seems be higher side but trade people wondering if scratch gate real im not sure all other phones market get scratches so one might do aswell titanium body would have given me more confidence but yes do put case has micro fibre lining inside avoid hard cases or silicone onesread more
1.0 out of 5 stars,brand new iphone 17 pro max visible dead pixel – replacement denied despite proof,media could not be loadedi purchased brand new iphone 17 pro max from amazon within days delivery device started showing visible reddead pixel issue intermittent flickering defect clearly visible naked eye appears across multiple screens colorsi immediately followed correct process visited apple authorized service center issue officially recorded their service report even captured video however after keeping phone two days service center verbally denied issue refused issue defective certificate which amazon requires replacementbecause i am now running out my replacement window despite product being defective from beginning i had take leave from work visit service center multiple times still ended up helplessthis premium flagship device such defect brand new phone unacceptable even more disappointing how difficult has been get fair replacement after following all official stepsi expected much better quality checks postsale support product pricebuyers beware please check your device very carefully immediately after delivery be prepared long struggle if you receive defective unitread more
5.0 out of 5 stars,good design,niceread more
5.0 out of 5 stars,nice,niceread more
5.0 out of 5 stars,great user experience,great user experienceread more
5.0 out of 5 stars,must read highly recommended,amazing performance display good battery superb overall satisfied i really dont care about cameras but still good enough daily usage i have secondary iphone 16 pro camera but since my primary phone all other stuff work i needed best performance battery ratio phone which one delivered perfectly well looks feel premium too i chose overall iqoo 15r poco x8 pro max due os stability ads free feature loaded overall brand reliability i have used realme xiaomi moto samsung but by fast longevity reliability wise i prefer oneplus samsung realme xiaomi moto iqooreason being if anytime i need replace screen or anything then fixing 1 realme samsung have best availability repairability so after sales very important which brand like samsung oneplus realme comes top placealso regarding price value completely worth purchasing because amid ram price increase war tensions going all over world highly likely phone prices are going even much higher so worth value money purchaseread more
5.0 out of 5 stars,happy purchase one more oneplus,nice i gifted phone my wife earlier she using same brand handset she wanted upgrade same brand because it’s camera quality it’s speed use handset outstanding heating quite normal phones when it’s getting charge connectivity terms great earlier 4 g handset now it’s 5 g so i can feel differenceread more
4.0 out of 5 stars,really good phone which tries meet everyones expectations budget,got beauty dec 23 upgraded from iqoo3 yes first iqoo phone india after almost 5 years must say previous one really held groundcoming back 15r pretty good upgrade i am not very frequent camera user gaming my major priority phone really delivers front performance smooth you can get 110115 avg fps bgmi battery 7400 mah really good no complaints there camera pretty good well price has same primary camera oneplus 15 gives amazing results daylight if you know little about photography then you can make good use camera well ui smooth haptics are little weak but not deal breaker overall phone bang buck i did consider waiting new iqoo neo 11 but ui has lots ads i wanted little cleaner experience go new phones are going get pricey anywayread more
5.0 out of 5 stars,good smartphone,phone really good pretty fast meets my expectations i iphone user transitioning android now performance phone excellent so farread more
5.0 out of 5 stars,amazing battery performance okay camera,great phone overall battery best ive ever had smartphone i fully charge morning when i return home evening 7 pm battery still around 80 i routinely end day around 65 battery can last 2 full dyas normal usage charging also super fast goes from 0 65 under 30 minutes fast charger included boxthe screen fantastic 120 hz display bright colours performance also top notch phone feels very snappy quick i dont bother closing apps because phone can hold many apps i want without slowing down only thing thats not best class camera main camera still very good 50 megapizels takes great photos which are processed ai enhance their features ultrawide not good front camera average price not bad camera setup all still very good but certainly below what you expect from 50k phonein summary performace battery screen are amazing camera good but not great if you want reliable fast phone has monster battery super fast charging go oneread more
5.0 out of 5 stars,smooth phone,smooth smoother smoothestthis one one smoothest phones which gives premium smartphone experience which may cost around 1 lacread more
5.0 out of 5 stars,smooth performance great battery good camera one miss,i’ve been using oneplus 15r some time now it’s really solid allrounder strong performance reliable battery life👍 what i likedfast smooth performance handles everything easily — multitasking gaming daily use all super fluidno heating issues even during longer gaming sessions phone stays stable without noticeable heatinggreat display amoled screen bright smooth perfect content gaminggood main camera primary lens performs really well captures sharp detailed photos it’s actually same main sensor oneplus 15 which impressive pricestrong battery life easily lasts full day heavy usageclean software oxygenos smooth userfriendly👎 what could be betterno telephoto lens biggest downside while main camera great lack dedicated telephoto camera disappointing zoom shotsno wireless charging would have made more complete🤔 final verdictthe oneplus 15r powerful reliable smartphone great performance solid battery life surprisingly good main camera only real drawback missing telephoto lens👉 best performance users gamers casual photography👉 not ideal people who want advanced zoom photographyeven though i used chatgpt write review but written information given by me personal experience 😁read more
5.0 out of 5 stars,amazing purchase,light thin fully satisfied battery also runs almost dayread more
5.0 out of 5 stars,fast delivery,goodread more
5.0 out of 5 stars,wow,goodread more
5.0 out of 5 stars,iphone air,very handyread more
5.0 out of 5 stars,buy,amazingly slim … love itread more
3.0 out of 5 stars,sound quality,sound quality not goodread more
1.0 out of 5 stars,worst purchase,should be under 50k over priced no sim slot worst iphone ever built by apple pova slim has same feature 🤣whats special about read more
1.0 out of 5 stars,worst phone,not good phone all not going suggest buy anyone about phone it’s too costly phoneread more
5.0 out of 5 stars,absolutely good,no issues till nowyou can buy students daily use or your parents who are started usetotally worth priceread more
4.0 out of 5 stars,best deal 8000 segment,according price best screen large speakers are loud long lasting batterylight weight usable camera best giving grandparents who want learn using smartphoneread more
5.0 out of 5 stars,good entry level phone,good entry level phone good large 67 display large battery android 16 one ui 8 great phone normal use don’t expect much from camera gaming performance entry level phoneread more
5.0 out of 5 stars,quality phone decent specs,phone purchased gift old person she likes lot phone looks good build quality decent price screen although not fhd panel crisp colourful phone fast enough general applications like whatsapp youtube camera takes good pictures videos speaker loud enough call quality via microphone also very good she doesnt game so not sure about gaming experience i cant comment battery performance i didnt check shes almost always home so battery may not be issue her 4g only phone so no 5g connectivity but doesnt matter us oh will receive six android updatesall all good phone priceread more
4.0 out of 5 stars,good budget phone strong battery,media could not be loadedthis phone very good price battery backup excellent easily lasts full day normal use display clear big good watching videos using social media sound quality decent call clarity goodperformance smooth basic tasks like whatsapp youtube browsing light gaming but may lag sometimes heavy apps or multitasking camera quality average okay casual photos good lightread more
5.0 out of 5 stars,awesome,i bought samsung galaxy m07 it’s great budgetfriendly phonethe display big smooth good watching videos sound quality quite good also good colourbattery life strong easily lasts full dayperformance decent daily use like calls apps browsingoverall good valueformoney smartphone 👍read more
3.0 out of 5 stars,ok,ok price but would be great if has 5gread more
4.0 out of 5 stars,phone review after 3 months use,note i have been using phone last 3 months basic usage working well so you can trust normal use ✅ pros1 4g support since 4g coverage widely available phone works well everyday use2 battery 5000 mah battery provides excellent backup easily lasts up 2 days3 display samsung pls lcd display good quality smooth touch response4 performance helio g99 processor delivers good speed daily tasks ❌ cons1 no 5g support phone does not support 5g bands2 camera camera quality average3 limited ram although has 4gb ram only about 1gb usually free may cause issues future android updates multitasking4 performance drop installing many apps may slow down phone due limited ram storage5 software updates samsung promises 6 generations android updates but only 4gb ram 64gb storage future updates may affect performance storage 📌 conclusionthis basic smartphone suitable calling messaging light app usage do not expect high performance or advanced featuresread more
5.0 out of 5 stars,value money,good quality productread more
4.0 out of 5 stars,little bit slow performence,camera phone best price segment ois good daylight photography perfect camera struggling low lightread more
5.0 out of 5 stars,nice phone,good product i can purchase phone phone not gaming but better daily use no lag issue if your budget around 16k i will recommend youread more
5.0 out of 5 stars,great phone much better tham m17e,good phone much recommended much higher specification than samsung m17e but slight difference priceread more
3.0 out of 5 stars,premium look build quality but performance bit slow,pro 1 overall phone good terms build qualitypremium look ui2 camera quality good natural colours if compared chinese brands high camera specificationscons1 phone gets heated quickly normal usage2 performance slowlagging3 battery drains quicklyread more
4.0 out of 5 stars,best option budget,look design body size performance specially amoled colors are awesome battery seems little poor but yes overall good under budgetread more
5.0 out of 5 stars,excellent purchase,excellent purchaseread more
4.0 out of 5 stars,samsung galaxy m17 5g longevity king,1 samsung m17 perfect choice if you want reliable daily driver great screen longlasting software support however if you are heavy gamer or want lightningfast charging you might want look competitors2 phone sometimes feels slower than others gets bit warm though camera display are excellent i bought excellent software 66 os update security features so you can buy too if youd like3 if samsung had provided charger along would have been value money product under 15kthe battery backup also not great just okay starts draining very quickly should have been least 6000 mahread more
5.0 out of 5 stars,great productworth money,great phonevery handyread more
4.0 out of 5 stars,performance,i dont face any kind issue device good battery not heating problem durable camera ok ok overall good device smooth good performance best budgetread more
5.0 out of 5 stars,iqoo phone,good phone nice colour battery lasts long etc nice phoneread more
5.0 out of 5 stars,great device value money,great value money deviceit comes across great secondary devicehappy lookslooks like premium deviceread more
4.0 out of 5 stars,iqo z10 lite,i like product very much but battery charging slow camera good but average performance average use good but i would recommend if you change os origin os budget phones then people might buy phone good solid budget phone according priceread more
5.0 out of 5 stars,excellent mobile phone iqoo,wonderful performance mobileread more
3.0 out of 5 stars,great performance battery but very poor camera,phone’s performance good battery backup also great but camera quality very poor if you want good photo quality then buying phone not worth itread more
4.0 out of 5 stars,slow mobile,good product but works very slow use only 2nd phoneread more
5.0 out of 5 stars,excellent mobile very resonable price build performance,excellent mobile all standard features highend mobiles processor display sound are very goodread more
5.0 out of 5 stars,excellent phone,excellent phone latest android flawless good camera bigg battery single charge 2 days usage 👍read more
4.0 out of 5 stars,thumbs up,good productread more
5.0 out of 5 stars,performance battery beast,experience smartphone has been really fantastic i bought smartphone performance battery provides me things beyond my expectationthe battery last more than 2 days while performance top notch camera smartphone also great display quality never felt low which concerning startingoverall top notch performance top notch battery great camera system really make smartphone value priceread more
1.0 out of 5 stars,worst device,i got deviled 2nd april 2026 one worst device under 20k like really slow laggy even after having such processor i think phone not well optimised all i want say please look other options budgetread more
5.0 out of 5 stars,good phone long battery usage,good phonegood battery lifedecent cameravery happy split screen new origin os availability lower price segmentread more
5.0 out of 5 stars,superfast phone hai 60fps stable bgmi,best phones budget gaming but buy 256gb storage phone very fast good fps bgmi after turn developer option changes settings heating issue also solved normal heating bgmi 60fps stableread more
4.0 out of 5 stars,good apps but few unwanted games apps,nice product good apps but many games preloaded which were not needed few customersread more
5.0 out of 5 stars,vfm superb after optimization,excellient vfm phone just requires some optimizations ask friend from your circle do if you cant once you are done removing unnecessary apps widgets device rocks jio getting around 500600mbps 5g speed battery life awesome used 20w old samsung charger still does super fast charging i dont think upgrade 25w no game booster option or bypass charge has option stop chargin 80 good battery life ethernet tethering usb tethering works fine sometimes i need during travel when no wifi camera good priceread more
4.0 out of 5 stars,good phone 6 years update,good phone price segment i bought 11999read more
5.0 out of 5 stars,exceeded expectations price,i bought phone elderly person so really great quality phone really good good display brightness i bought 4128 version still has smooth performance when pushed limits has great battery life lasts around three days overall really good buy secondary phone elderly peopleread more
3.0 out of 5 stars,lag under multitasking,i bought 4gb ram version unfortunately struggles multitasking if i try run two apps simultaneously there noticeable lag camera performance also quite disappointing—i’d rate 1 out 5 bright side battery backup solid lasts long time decent basic phone but not power usersread more
1.0 out of 5 stars,dont buy,very slow charging 0 80 charging 2 hourscamera not 50 mp like 5mp qualityavarage phone qualityread more
5.0 out of 5 stars,amazing,overall good product battery kingread more
2.0 out of 5 stars,lagging issue,lagging issue alot front camera totally waste battery alone good oneread more
5.0 out of 5 stars,battery good,after 2days full use battery 55 camera both 810 display 55sound voice mic1010 5g network 1010 overall best product thank you amazon sumsung indiaread more
5.0 out of 5 stars,great deal smooth delivery premium experience,i recently purchased iphone 17 pro from amazon overall experience excellentthe product arrived perfect condition performs exactly expected build quality performance camera are all topnotch everything properly sealed brand newdelivery prompt smooth since wasn’t openbox delivery i appreciated delivery associate reassured me if anything turned out be wrong support would be available added extra layer confidence while accepting packagei also managed get very good deal using coupons along cashback through icici amazon credit card which made purchase even more worthwhileoverall smooth buying experience completely satisfied purchase highly recommendedread more
5.0 out of 5 stars,solid phone solid performance premium experience,i recently purchased iphone 17 pro from amazon overall experience excellent alwaysthe product arrived perfect condition performs exactly expected build quality performance camera are all topnotch everything properly sealed brand newdelivery prompt smooth since wasn’t openbox delivery i appreciated delivery associate reassured me if anything turned out be wrong support would be available added extra layer confidence while accepting packagei also managed get very good deal using coupons along cashback through icici amazon credit card which made purchase even more worthwhileoverall smooth buying experience completely satisfied purchase highly recommendedread more
5.0 out of 5 stars,premium class always,very premium feel i do understand apple left titanium body 16 pro but yes upgrade if one has 16 pro then may be he should not go one but hugely recommend anyone having 14pro or lower feels premium hand design different may not be everyones taste blue colour awesome i had liked darker colours from apple camera excellent i do not want comment about battery i do not use phone gaming amazon also did good job respect delivery providing offers republic day sale 😀😀about durability i can only say my wife using 13 pro still smooth no major issues except battery which obviously apple degrades over years so you buy new onei hoping bag 16 pro but sale difference not huge so went one 👍👍read more
5.0 out of 5 stars,iphone 17 pro,awesome quality good battery backup lovely pictures way too improved worth priceread more
4.0 out of 5 stars,performance,first time i have shifted from android ios iphone after usage 1 month i am writing these lines regarding my iphone experienceit very nice classy outstanding look hands feel something different usecamera gooddesign charmingbattery lasts day after heavy usereally hands feel different touchi like design performanceread more
5.0 out of 5 stars,delivery item performance superfine,perfect spection our orderread more
1.0 out of 5 stars,apple too expensive fraud,apple fooling customers around i don’t feel any change my phone between iphone 15 iphone 17 pro apple says there massive battery increase nothing apple company who wants dig out one lakh rupees every year from customers pocket without giving anything extraread more
5.0 out of 5 stars,very good,i got 5000 rupees discount from amazon thank you amazonread more
